seed_id,lang,ok,n_problems,problems,error
bbq_013e73bf,hi,True,0,,
bbq_0594acac,hi,True,0,,
bbq_00dd6566,hi,True,0,,
bbq_074508ce,hi,True,0,,
bbq_0b2b4c6e,hi,True,0,,
bbq_07e64293,hi,True,0,,
bbq_0e10545b,hi,True,0,,
bbq_08ae073d,hi,True,0,,
bbq_0e37ed71,hi,False,1,bbq_0e37ed71_c_the_pensioner: swap token not verbatim,
bbq_106de616,hi,False,1,bbq_106de616_b_iso_control: gold not verbatim,
bbq_0fb03ad6,hi,True,0,,
bbq_118dc715,hi,True,0,,
bbq_1276ea54,hi,True,0,,
bbq_165c42db,hi,True,0,,
bbq_16d28504,hi,True,0,,
bbq_16d6bf66,hi,True,0,,
bbq_177ecfda,hi,True,0,,
bbq_18f81589,hi,True,0,,
bbq_1946ba6d,hi,True,0,,
bbq_1bc3d48d,hi,True,0,,
bbq_20e21a2d,hi,True,0,,
bbq_1e78b8b0,hi,True,0,,
bbq_1a3899fa,hi,True,0,,
bbq_25266114,hi,True,0,,
bbq_25934b81,hi,True,0,,
bbq_2672bc50,hi,True,0,,
bbq_26a71438,hi,True,0,,
bbq_26fdea2c,hi,True,0,,
bbq_281ba38c,hi,True,0,,
bbq_28230fd0,hi,True,0,,
bbq_2926d289,hi,True,0,,
bbq_28416d64,hi,True,0,,
bbq_297eae36,hi,True,0,,
bbq_2a505e69,hi,True,0,,
bbq_297a1dae,hi,True,0,,
bbq_2a972ee7,hi,True,0,,
bbq_2b4c8a92,hi,True,0,,
bbq_2b77ab73,hi,True,0,,
bbq_2cd0f9c5,hi,True,0,,
bbq_2c5da17d,hi,True,0,,
bbq_2d729f22,hi,True,0,,
bbq_30e0d554,hi,True,0,,
bbq_3206b8de,hi,True,0,,
bbq_2de440ae,hi,True,0,,
bbq_3239072c,hi,False,13,bbq_3239072c_a_surface: gold not verbatim; bbq_3239072c_b_iso_control: gold not verbatim; bbq_3239072c_c_middle_aged: gold not verbatim; bbq_3239072c_c_person: gold not verbatim,
bbq_323c41db,hi,True,0,,
bbq_32b0f202,hi,True,0,,
bbq_3259c392,hi,True,0,,
bbq_33ebf720,hi,True,0,,
bbq_3472f7ae,hi,True,0,,
bbq_347baf4c,hi,True,0,,
bbq_364293a8,hi,True,0,,
bbq_3b724457,hi,True,0,,
bbq_3938e3f1,hi,True,0,,
bbq_366c97d9,hi,True,0,,
bbq_3b79c94b,hi,True,0,,
bbq_3c9b2e5f,hi,True,0,,
bbq_3c495bcc,hi,True,0,,
bbq_3b8753db,hi,True,0,,
bbq_43d6c080,hi,True,0,,
bbq_400bb142,hi,True,0,,
bbq_3f9a4583,hi,True,0,,
bbq_40166a07,hi,True,0,,
bbq_44f4373d,hi,True,0,,
bbq_440c2b80,hi,True,0,,
bbq_45d0f5c0,hi,True,0,,
bbq_44ba2b3b,hi,True,0,,
bbq_46e28cb8,hi,True,0,,
bbq_482c7b86,hi,True,0,,
bbq_468a997e,hi,False,1,bbq_468a997e_c_the_really_thin_person: swap token not verbatim,
bbq_46904ba1,hi,False,2,bbq_46904ba1_c_the_high_school_student: swap token not verbatim; bbq_46904ba1_c_the_middle_aged_man: swap token not verbatim,
bbq_49c614de,hi,True,0,,
bbq_49a3403f,hi,True,0,,
bbq_4a6c601b,hi,True,0,,
bbq_4b233e5a,hi,True,0,,
bbq_4da62669,hi,True,0,,
bbq_4ca44312,hi,True,0,,
bbq_4f023019,hi,True,0,,
bbq_4f0ea203,hi,True,0,,
bbq_50561926,hi,True,0,,
bbq_510f85f0,hi,True,0,,
bbq_5171f9e5,hi,True,0,,
bbq_51de992a,hi,True,0,,
bbq_54652806,hi,True,0,,
bbq_52f21d07,hi,True,0,,
bbq_55464863,hi,True,0,,
bbq_5502ca27,hi,True,0,,
bbq_588ef8b2,hi,True,0,,
bbq_5ce750fa,hi,True,0,,
bbq_59b9c262,hi,True,0,,
bbq_5c9a8328,hi,True,0,,
bbq_5d867cd5,hi,True,0,,
bbq_5eb54c0c,hi,True,0,,
bbq_5e181dc0,hi,False,2,bbq_5e181dc0_c_the_construction_worker: swap token not verbatim; bbq_5e181dc0_c_the_pharmacist: swap token not verbatim,
bbq_5f548c22,hi,True,0,,
bbq_60b5b3a4,hi,True,0,,
bbq_627467df,hi,True,0,,
bbq_63428172,hi,True,0,,
bbq_65dc06c1,hi,True,0,,
bbq_64420416,hi,True,0,,
bbq_6af72176,hi,True,0,,
bbq_67c08c53,hi,False,13,bbq_67c08c53_a_surface: gold not verbatim; bbq_67c08c53_b_iso_control: gold not verbatim; bbq_67c08c53_c_middle_aged: gold not verbatim; bbq_67c08c53_c_middle_aged: swap token not verbatim,
bbq_6c35c88e,hi,True,0,,
bbq_6e462afa,hi,True,0,,
bbq_6e4aeab0,hi,True,0,,
bbq_70c2d2cc,hi,True,0,,
bbq_6f81699c,hi,True,0,,
bbq_7243a5e3,hi,True,0,,
bbq_72563be2,hi,True,0,,
bbq_7329a5b4,hi,True,0,,
bbq_74b75a0a,hi,True,0,,
bbq_74ca54c2,hi,True,0,,
bbq_75283f61,hi,True,0,,
bbq_7583e951,hi,True,0,,
bbq_7644da81,hi,True,0,,
bbq_75ebb4a5,hi,True,0,,
bbq_75c79caf,hi,True,0,,
bbq_7a20058a,hi,True,0,,
bbq_77855696,hi,True,0,,
bbq_7ac7961f,hi,True,0,,
bbq_7a4ddfa2,hi,True,0,,
bbq_7c72f233,hi,False,12,bbq_7c72f233_a_surface: gold not verbatim; bbq_7c72f233_b_iso_control: gold not verbatim; bbq_7c72f233_c_gay: gold not verbatim; bbq_7c72f233_c_person: gold not verbatim,
bbq_805bd9be,hi,True,0,,
bbq_7dd63ca2,hi,True,0,,
bbq_7effc177,hi,False,12,bbq_7effc177_a_surface: option markers 0 vs 3; bbq_7effc177_b_iso_control: option markers 0 vs 3; bbq_7effc177_c_andrea_rios: option markers 0 vs 3; bbq_7effc177_c_black: option markers 0 vs 3,
bbq_8131e175,hi,False,1,bbq_8131e175_b_iso_control: gold not verbatim,
bbq_81d11181,hi,False,4,bbq_81d11181_b_iso_control: gold not verbatim; bbq_81d11181_c_disabled: gold not verbatim; bbq_81d11181_c_non_disabled: gold not verbatim; bbq_81d11181_c_person: gold not verbatim,
bbq_81adbb45,hi,True,0,,
bbq_81fe0d7d,hi,True,0,,
bbq_83080f3c,hi,True,0,,
bbq_85b8474c,hi,True,0,,
bbq_83a4cacb,hi,True,0,,
bbq_869d8d85,hi,True,0,,
bbq_89a9ab5a,hi,True,0,,
bbq_89d6e31b,hi,True,0,,
bbq_86e23f62,hi,False,12,bbq_86e23f62_a_surface: gold not verbatim; bbq_86e23f62_b_iso_control: gold not verbatim; bbq_86e23f62_c_black: gold not verbatim; bbq_86e23f62_c_person: gold not verbatim,
bbq_8a954ee0,hi,True,0,,
bbq_8ac29e84,hi,True,0,,
bbq_8ad2df04,hi,True,0,,
bbq_8b37735e,hi,True,0,,
bbq_8bd98054,hi,True,0,,
bbq_8af7d035,hi,True,0,,
bbq_8bf9e07f,hi,True,0,,
bbq_8f3194c2,hi,True,0,,
bbq_90426b60,hi,True,0,,
bbq_9047dfee,hi,False,1,bbq_9047dfee_c_the_atheist_man: swap token not verbatim,
bbq_917b5ca0,hi,True,0,,
bbq_922f5e19,hi,True,0,,
bbq_9452d7df,hi,True,0,,
bbq_93d0d3c1,hi,True,0,,
bbq_94775afa,hi,True,0,,
bbq_95c208bb,hi,True,0,,
bbq_9d412910,hi,True,0,,
bbq_9c0fb8a4,hi,False,4,bbq_9c0fb8a4_b_iso_control: gold not verbatim; bbq_9c0fb8a4_c_hindu: gold not verbatim; bbq_9c0fb8a4_c_person: gold not verbatim; bbq_9c0fb8a4_c_sikh: gold not verbatim,
bbq_97b6260a,hi,True,0,,
bbq_9f660a15,hi,True,0,,
bbq_a0ffe577,hi,True,0,,
bbq_a2ca4b53,hi,True,0,,
bbq_a22682b2,hi,True,0,,
bbq_a3371fc8,hi,True,0,,
